as_of_date,total_inmates_in_custody,bradh_inmates_in_custody
2026-07-01,6556,3994
2026-07-02,6514,3976
2026-07-03,6497,4000
2026-07-06,6589,3988
2026-07-08,6551,4034
2026-07-09,6532,3998
2026-07-10,6547,4011
2026-07-12,6575,3978
2026-07-14,6583,4014
2026-07-15,6576,4036
2026-07-16,6578,4023
2026-07-17,6583,4018
2026-07-20,6627,3994
2026-07-21,6605,4036
2026-07-22,6604,4024
2026-07-23,6566,4023
2026-07-24,6572,4028
2026-07-27,6569,3978
2026-07-28,6555,4016
2026-07-29,6559,4020
2026-07-30,6532,3980
2026-07-31,6517,3973
2026-08-01,6484,3950
2026-08-02,6518,3949
2026-08-03,6513,3932
2026-08-04,6463,3962
2026-08-05,6461,3966
2026-08-06,6452,3947
2026-08-07,6454,3917
2026-08-08,6458,3936
2026-08-09,6495,3935
2026-08-10,6526,3931
2026-08-11,6506,3969
2026-08-12,6516,3978
2026-08-13,6503,3962
2026-08-14,6499,3956
2026-08-15,6484,3953
2026-08-16,6519,3951
2026-08-17,6540,3946
2026-08-18,6513,3997
2026-08-19,6537,4004
2026-08-20,6487,3952
2026-08-21,6509,3969
2026-08-22,6506,3952
2026-08-23,6539,3951
2026-08-24,6541,3954
2026-08-25,6525,3983
2026-08-26,6507,4008
2026-08-27,6487,3994
2026-08-29,6469,4011
2026-08-30,6499,4007
2026-08-31,6513,4005
2026-09-01,6491,4040
2026-09-02,6482,4039
